town,flat_type,n_transactions,avg_price,avg_psm,psm_rank_in_town,town_avg_psm
ANG MO KIO,5 ROOM,126,989758.0,8452.97,1,7509.02
ANG MO KIO,4 ROOM,277,734068.0,7864.37,2,7509.02
ANG MO KIO,EXECUTIVE,9,1179765.0,7454.95,3,7509.02
ANG MO KIO,2 ROOM,16,330556.0,7446.34,4,7509.02
ANG MO KIO,3 ROOM,398,449895.0,6326.49,5,7509.02
BEDOK,2 ROOM,19,330047.0,7540.32,1,6978.11
BEDOK,4 ROOM,434,671315.0,7165.66,2,6978.11
BEDOK,EXECUTIVE,51,1027072.0,7074.74,3,6978.11
BEDOK,5 ROOM,173,804779.0,6631.44,4,6978.11
BEDOK,3 ROOM,438,441074.0,6478.37,5,6978.11
BISHAN,EXECUTIVE,37,1278018.0,8545.44,1,8204.47
BISHAN,5 ROOM,92,1030053.0,8418.77,2,8204.47
BISHAN,4 ROOM,173,791823.0,8045.22,3,8204.47
BISHAN,3 ROOM,51,510215.0,7808.45,4,8204.47
BUKIT BATOK,2 ROOM,82,378173.0,8443.63,1,6892.53
BUKIT BATOK,5 ROOM,277,806642.0,6980.36,2,6892.53
BUKIT BATOK,4 ROOM,527,624964.0,6639.02,3,6892.53
BUKIT BATOK,3 ROOM,310,435438.0,6385.44,4,6892.53
BUKIT BATOK,EXECUTIVE,65,886002.0,6014.22,5,6892.53
BUKIT MERAH,4 ROOM,349,891888.0,9549.96,1,8326.97
BUKIT MERAH,5 ROOM,164,1067450.0,9115.57,2,8326.97
BUKIT MERAH,1 ROOM,8,261347.0,8430.55,3,8326.97
BUKIT MERAH,3 ROOM,278,507825.0,7577.91,4,8326.97
BUKIT MERAH,2 ROOM,34,313281.0,6960.85,5,8326.97
BUKIT PANJANG,2 ROOM,14,365885.0,7807.52,1,6622.8
BUKIT PANJANG,3 ROOM,101,467178.0,6774.45,2,6622.8
BUKIT PANJANG,5 ROOM,184,720132.0,6198.48,3,6622.8
BUKIT PANJANG,EXECUTIVE,67,854867.0,6177.14,4,6622.8
BUKIT PANJANG,4 ROOM,345,584207.0,6156.42,5,6622.8
BUKIT TIMAH,EXECUTIVE,7,1376413.0,9435.12,1,8582.45
BUKIT TIMAH,5 ROOM,20,1111694.0,9004.25,2,8582.45
BUKIT TIMAH,4 ROOM,16,868806.0,8579.89,3,8582.45
BUKIT TIMAH,3 ROOM,9,499000.0,7310.53,4,8582.45
CENTRAL AREA,5 ROOM,25,1288956.0,11888.75,1,9556.0
CENTRAL AREA,4 ROOM,64,1059988.0,11387.22,2,9556.0
CENTRAL AREA,3 ROOM,58,542273.0,8406.98,3,9556.0
CENTRAL AREA,2 ROOM,7,346143.0,6541.05,4,9556.0
CHOA CHU KANG,2 ROOM,13,381838.0,8478.98,1,6413.29
CHOA CHU KANG,3 ROOM,60,455173.0,6606.85,2,6413.29
CHOA CHU KANG,EXECUTIVE,82,832158.0,5752.1,3,6413.29
CHOA CHU KANG,4 ROOM,441,558298.0,5637.64,4,6413.29
CHOA CHU KANG,5 ROOM,320,665248.0,5590.89,5,6413.29
CLEMENTI,5 ROOM,73,1106634.0,9655.25,1,8207.1
CLEMENTI,4 ROOM,190,836099.0,9126.83,2,8207.1
CLEMENTI,2 ROOM,6,398500.0,8341.45,3,8207.1
CLEMENTI,EXECUTIVE,6,1087500.0,7190.25,4,8207.1
CLEMENTI,3 ROOM,201,461417.0,6721.74,5,8207.1
GEYLANG,4 ROOM,222,761980.0,8120.36,1,7305.97
GEYLANG,5 ROOM,73,943591.0,7677.66,2,7305.97
GEYLANG,EXECUTIVE,10,1030289.0,6991.27,3,7305.97
GEYLANG,3 ROOM,300,437659.0,6908.71,4,7305.97
GEYLANG,2 ROOM,21,301384.0,6831.84,5,7305.97
HOUGANG,2 ROOM,38,382323.0,8371.64,1,7057.17
HOUGANG,3 ROOM,244,471189.0,6912.74,2,7057.17
HOUGANG,EXECUTIVE,98,986147.0,6756.2,3,7057.17
HOUGANG,5 ROOM,217,794418.0,6634.12,4,7057.17
