transaction_month,n_transactions,median_price,prev_median,mom_change,mom_pct_change
2017-01-01,1176,403000,,,
2017-02-01,1080,415000,403000,12000,2.98
2017-03-01,1889,415000,415000,0,0.0
2017-04-01,1821,406600,415000,-8400,-2.02
2017-05-01,1961,410000,406600,3400,0.84
2017-06-01,1733,410000,410000,0,0.0
2017-07-01,1765,405000,410000,-5000,-1.22
2017-08-01,1941,415000,405000,10000,2.47
2017-09-01,1665,415000,415000,0,0.0
2017-10-01,1767,410000,415000,-5000,-1.2
2017-11-01,1966,408444,410000,-1556,-0.38
2017-12-01,1573,418000,408444,9556,2.34
2018-01-01,1072,415000,418000,-3000,-0.72
2018-02-01,1182,408000,415000,-7000,-1.69
2018-03-01,1880,418000,408000,10000,2.45
2018-04-01,1837,410000,418000,-8000,-1.91
2018-05-01,1740,412000,410000,2000,0.49
2018-06-01,1975,410000,412000,-2000,-0.49
2018-07-01,2536,415000,410000,5000,1.22
2018-08-01,2065,405000,415000,-10000,-2.41
2018-09-01,1985,400000,405000,-5000,-1.23
2018-10-01,1992,398500,400000,-1500,-0.38
2018-11-01,1865,396000,398500,-2500,-0.63
2018-12-01,1423,395000,396000,-1000,-0.25
2019-01-01,1549,395000,395000,0,0.0
2019-02-01,1304,393000,395000,-2000,-0.51
2019-03-01,1650,400000,393000,7000,1.78
2019-04-01,1915,400000,400000,0,0.0
2019-05-01,2067,400000,400000,0,0.0
2019-06-01,1884,400000,400000,0,0.0
2019-07-01,2111,405000,400000,5000,1.25
2019-08-01,1900,405000,405000,0,0.0
2019-09-01,1827,400000,405000,-5000,-1.23
2019-10-01,2204,401444,400000,1444,0.36
2019-11-01,1910,405000,401444,3556,0.89
2019-12-01,1847,405000,405000,0,0.0
2020-01-01,1910,400000,405000,-5000,-1.23
2020-02-01,1661,408000,400000,8000,2.0
2020-03-01,1935,412000,408000,4000,0.98
2020-04-01,423,423000,412000,11000,2.67
2020-05-01,363,430000,423000,7000,1.65
2020-06-01,2438,405000,430000,-25000,-5.81
2020-07-01,2453,413000,405000,8000,1.98
2020-08-01,2423,425000,413000,12000,2.91
2020-09-01,2481,430000,425000,5000,1.18
2020-10-01,2426,450000,430000,20000,4.65
2020-11-01,2320,447444,450000,-2556,-0.57
2020-12-01,2480,450000,447444,2556,0.57
2021-01-01,2490,460000,450000,10000,2.22
2021-02-01,2160,460000,460000,0,0.0
2021-03-01,2442,465000,460000,5000,1.09
2021-04-01,2330,472000,465000,7000,1.51
2021-05-01,1954,480000,472000,8000,1.69
2021-06-01,2300,482000,480000,2000,0.42
2021-07-01,2655,480000,482000,-2000,-0.41
2021-08-01,2735,490000,480000,10000,2.08
2021-09-01,2510,492000,490000,2000,0.41
2021-10-01,2495,500000,492000,8000,1.63
2021-11-01,2566,503000,500000,3000,0.6
2021-12-01,2420,505000,503000,2000,0.4
2022-01-01,2440,500000,505000,-5000,-0.99
2022-02-01,1894,508000,500000,8000,1.6
2022-03-01,2262,510000,508000,2000,0.39
2022-04-01,2261,520000,510000,10000,1.96
2022-05-01,2152,520000,520000,0,0.0
2022-06-01,2134,530000,520000,10000,1.92
2022-07-01,2358,530000,530000,0,0.0
2022-08-01,2309,522000,530000,-8000,-1.51
2022-09-01,2576,538000,522000,16000,3.07
2022-10-01,1956,544000,538000,6000,1.12
2022-11-01,2128,538444,544000,-5556,-1.02
2022-12-01,2232,530000,538444,-8444,-1.57
2023-01-01,2551,535000,530000,5000,0.94
2023-02-01,1837,535800,535000,800,0.15
2023-03-01,2274,543000,535800,7200,1.34
2023-04-01,2175,550000,543000,7000,1.29
2023-05-01,2245,550000,550000,0,0.0
2023-06-01,1852,550000,550000,0,0.0
2023-07-01,2051,555000,550000,5000,0.91
2023-08-01,2466,555000,555000,0,0.0
2023-09-01,1973,550000,555000,-5000,-0.9
2023-10-01,2187,555000,550000,5000,0.91
2023-11-01,2128,560000,555000,5000,0.9
2023-12-01,2001,560000,560000,0,0.0
2024-01-01,2620,570000,560000,10000,1.79
2024-02-01,2122,568000,570000,-2000,-0.35
2024-03-01,2046,572000,568000,4000,0.7
2024-04-01,2369,570000,572000,-2000,-0.35
2024-05-01,2487,580000,570000,10000,1.75
2024-06-01,2170,595000,580000,15000,2.59
2024-07-01,3036,595000,595000,0,0.0
2024-08-01,2588,600000,595000,5000,0.84
2024-09-01,2203,610000,600000,10000,1.67
2024-10-01,2138,615000,610000,5000,0.82
2024-11-01,1928,615000,615000,0,0.0
2024-12-01,2110,615000,615000,0,0.0
2025-01-01,2312,612444,615000,-2556,-0.42
2025-02-01,2091,620000,612444,7556,1.23
2025-03-01,1898,625000,620000,5000,0.81
2025-04-01,2294,630000,625000,5000,0.8
2025-05-01,2264,635000,630000,5000,0.79
2025-06-01,2259,632800,635000,-2200,-0.35
2025-07-01,2562,628000,632800,-4800,-0.76
2025-08-01,2203,622000,628000,-6000,-0.96
2025-09-01,2172,645000,622000,23000,3.7
2025-10-01,1338,620000,645000,-25000,-3.88
2025-11-01,1657,618000,620000,-2000,-0.32
2025-12-01,2022,635000,618000,17000,2.75
2026-01-01,2337,630000,635000,-5000,-0.79
2026-02-01,1662,622000,630000,-8000,-1.27
2026-03-01,2040,630000,622000,8000,1.29
2026-04-01,1934,630000,630000,0,0.0
2026-05-01,2129,630000,630000,0,0.0
2026-06-01,2126,625000,630000,-5000,-0.79
2026-07-01,2654,630000,625000,5000,0.8
2026-08-01,238,650000,630000,20000,3.17
