flat_type,town,n_transactions,median_price,avg_psm,rank_in_type
2 ROOM,PUNGGOL,108,399000,8735.11,1
2 ROOM,SENGKANG,60,390500,8553.52,2
2 ROOM,HOUGANG,41,380000,8409.69,3
2 ROOM,BUKIT BATOK,74,380000,8353.59,4
2 ROOM,SEMBAWANG,86,380000,8532.27,5
3 ROOM,PASIR RIS,21,605000,8535.39,1
3 ROOM,CENTRAL AREA,61,548000,8319.24,2
3 ROOM,PUNGGOL,169,548000,8101.5,3
3 ROOM,SENGKANG,120,545000,7967.98,4
3 ROOM,BISHAN,52,539000,7886.11,5
4 ROOM,CENTRAL AREA,70,1179000,11622.33,1
4 ROOM,QUEENSTOWN,244,1009444,11150.41,2
4 ROOM,TOA PAYOH,380,989000,10044.7,3
4 ROOM,BUKIT MERAH,345,932000,9594.63,4
4 ROOM,KALLANG/WHAMPOA,258,909000,9495.88,5
5 ROOM,CENTRAL AREA,23,1480000,11793.71,1
5 ROOM,QUEENSTOWN,70,1220000,10528.36,2
5 ROOM,CLEMENTI,76,1150000,9652.32,3
5 ROOM,BUKIT TIMAH,20,1116500,9091.21,4
5 ROOM,BUKIT MERAH,167,1080000,9175.04,5
EXECUTIVE,BISHAN,39,1270000,8544.56,1
EXECUTIVE,SERANGOON,37,1050000,7342.17,2
EXECUTIVE,BEDOK,45,1000000,7006.37,3
EXECUTIVE,HOUGANG,93,980000,6722.47,4
EXECUTIVE,TAMPINES,142,970000,6744.45,5
